year,film,category,name,won,discount,role,category2
2001,The Lord of the Rings: The Fellowship of the Ring,MAKEUP,"Peter Owen, Richard Taylor",won,,NA,NA
2001,The Lord of the Rings: The Fellowship of the Ring,MUSIC,Howard Shore,won,,NA,(Original Score)
2001,The Lord of the Rings: The Fellowship of the Ring,MUSIC,"""May It Be,"" Music and Lyric by Enya, Nicky Ryan and Roma Ryan",,,NA,(Original Song)
2001,The Lord of the Rings: The Fellowship of the Ring,BEST PICTURE,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",,,NA,NA
2001,The Lord of the Rings: The Fellowship of the Ring,SOUND,"Christopher Boyes, Michael Semanick, Gethin Creagh, Hammond Peek",,,NA,NA
2001,The Lord of the Rings: The Fellowship of the Ring,VISUAL EFFECTS,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson",won,,NA,NA
2001,The Lord of the Rings: The Fellowship of the Ring,WRITING,"Screenplay by Fran Walsh, Philippa Boyens, Peter Jackson",,,NA,(Screenplay Based on Material Previously Produced or Published)
2017,The Shape of Water,ACTOR IN A SUPPORTING ROLE,Richard Jenkins,,,"{""Giles""}",NA
2017,The Shape of Water,ACTRESS IN A LEADING ROLE,Sally Hawkins,,,"{""Elisa Esposito""}",NA
2017,The Shape of Water,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,,,"{""Zelda Fuller""}",NA
2017,The Shape of Water,CINEMATOGRAPHY,Dan Laustsen,,,NA,NA
2017,The Shape of Water,COSTUME DESIGN,Luis Sequeira,,,NA,NA
2017,The Shape of Water,DIRECTING,Guillermo del Toro,won,,NA,NA
2017,The Shape of Water,FILM EDITING,Sidney Wolinsky,,,NA,NA
2017,The Shape of Water,MUSIC,Alexandre Desplat,won,,NA,(Original Score)
2017,The Shape of Water,BEST PICTURE,"Guillermo del Toro and J. Miles Dale, Producers",won,,NA,NA
2017,The Shape of Water,PRODUCTION DESIGN,Production Design: Paul Denham Austerberry; Set Decoration: Shane Vieau and Jeffrey A. Melvin,won,,NA,NA
2017,The Shape of Water,SOUND EDITING,Nathan Robitaille and Nelson Ferreira,,,NA,NA
2017,The Shape of Water,SOUND MIXING,"Christian Cooke, Brad Zoern and Glen Gauthier",,,NA,NA
2017,The Shape of Water,WRITING,Screenplay by Guillermo del Toro & Vanessa Taylor; Story by Guillermo del Toro,,,NA,(Original Screenplay)
1966,Who's Afraid of Virginia Woolf?,ACTOR,Richard Burton,,,"{""George""}",NA
1966,Who's Afraid of Virginia Woolf?,ACTOR IN A SUPPORTING ROLE,George Segal,,,"{""Nick""}",NA
1966,Who's Afraid of Virginia Woolf?,ACTRESS,Elizabeth Taylor,won,,"{""Martha""}",NA
1966,Who's Afraid of Virginia Woolf?,ACTRESS IN A SUPPORTING ROLE,Sandy Dennis,won,,"{""Honey""}",NA
1966,Who's Afraid of Virginia Woolf?,ART DIRECTION,Art Direction: Richard Sylbert; Set Decoration: George James Hopkins,won,,NA,(Black-and-White)
1966,Who's Afraid of Virginia Woolf?,CINEMATOGRAPHY,Haskell Wexler,won,,NA,(Black-and-White)
1966,Who's Afraid of Virginia Woolf?,COSTUME DESIGN,Irene Sharaff,won,,NA,(Black-and-White)
1966,Who's Afraid of Virginia Woolf?,DIRECTING,Mike Nichols,,,NA,NA
1966,Who's Afraid of Virginia Woolf?,FILM EDITING,Sam O'Steen,,,NA,NA
1966,Who's Afraid of Virginia Woolf?,MUSIC,Alex North,,,NA,(Original Music Score)
1966,Who's Afraid of Virginia Woolf?,BEST PICTURE,"Ernest Lehman, Producer",,,NA,NA
1966,Who's Afraid of Virginia Woolf?,SOUND,"Warner Bros. Studio Sound Department, George R. Groves, Sound Director",,,NA,NA
1966,Who's Afraid of Virginia Woolf?,WRITING,Ernest Lehman,,,NA,(Screenplay--based on material from another medium)
1951,A Streetcar Named Desire,ACTOR,Marlon Brando,,,"{""Stanley Kowalski""}",NA
1951,A Streetcar Named Desire,ACTOR IN A SUPPORTING ROLE,Karl Malden,won,,"{""Mitch""}",NA
1951,A Streetcar Named Desire,ACTRESS,Vivien Leigh,won,,"{""Blanche DuBois""}",NA
1951,A Streetcar Named Desire,ACTRESS IN A SUPPORTING ROLE,Kim Hunter,won,,"{""Stella Kowalski""}",NA
1951,A Streetcar Named Desire,ART DIRECTION,Art Direction: Richard Day; Set Decoration: George James Hopkins,won,,NA,(Black-and-White)
1951,A Streetcar Named Desire,CINEMATOGRAPHY,Harry Stradling,,,NA,(Black-and-White)
1951,A Streetcar Named Desire,COSTUME DESIGN,Lucinda Ballard,,,NA,(Black-and-White)
1951,A Streetcar Named Desire,DIRECTING,Elia Kazan,,,NA,NA
1951,A Streetcar Named Desire,MUSIC,Alex North ,,,NA,(Music Score of a Dramatic or Comedy Picture)
1951,A Streetcar Named Desire,BEST MOTION PICTURE,"Charles K. Feldman, Producer",,,NA,NA
1951,A Streetcar Named Desire,SOUND RECORDING,"Warner Bros. Studio Sound Department, Col. Nathan Levinson, Sound Director ",,,NA,NA
1951,A Streetcar Named Desire,WRITING,Tennessee Williams,,,NA,(Screenplay)
1964,Becket,ACTOR,Richard Burton,,,"{""Thomas Becket""}",NA
1964,Becket,ACTOR,Peter O'Toole,,,"{""King Henry II""}",NA
1964,Becket,ACTOR IN A SUPPORTING ROLE,John Gielgud,,,"{""King Louis VII of France""}",NA
1964,Becket,ART DIRECTION,"Art Direction: John Bryan, Maurice Carter; Set Decoration: Patrick McLoughlin, Robert Cartwright",,,NA,(Color)
1964,Becket,CINEMATOGRAPHY,Geoffrey Unsworth,,,NA,(Color)
1964,Becket,COSTUME DESIGN,Margaret Furse,,,NA,(Color)
1964,Becket,DIRECTING,Peter Glenville,,,NA,NA
1964,Becket,FILM EDITING,Anne Coates,,,NA,NA
1964,Becket,MUSIC,Laurence Rosenthal,,,NA,(Music Score--substantially original)
1964,Becket,BEST PICTURE,"Hal B. Wallis, Producer",,,NA,NA
1964,Becket,SOUND,"Shepperton Studio Sound Department, John Cox, Sound Director",,,NA,NA
1964,Becket,WRITING,Edward Anhalt,won,,NA,(Screenplay--based on material from another medium)
1959,Ben-Hur,ACTOR,Charlton Heston,won,,"{""Judah Ben-Hur""}",NA
1959,Ben-Hur,ACTOR IN A SUPPORTING ROLE,Hugh Griffith,won,,"{""Sheik Ilderim""}",NA
1959,Ben-Hur,ART DIRECTION,"Art Direction: William A. Horning, Edward Carfagno; Set Decoration: Hugh Hunt",won,,NA,(Color)
1959,Ben-Hur,CINEMATOGRAPHY,Robert L. Surtees,won,,NA,(Color)
1959,Ben-Hur,COSTUME DESIGN,Elizabeth Haffenden,won,,NA,(Color)
