year,film,category,name,won,discount,role,category2
1964,My Fair Lady,ACTRESS IN A SUPPORTING ROLE,Gladys Cooper,,,"{""Mrs. Higgins""}",NA
1964,My Fair Lady,ART DIRECTION,"Art Direction: Gene Allen, Cecil Beaton; Set Decoration: George James Hopkins",won,,NA,(Color)
1964,My Fair Lady,CINEMATOGRAPHY,Harry Stradling,won,,NA,(Color)
1964,My Fair Lady,COSTUME DESIGN,Cecil Beaton,won,,NA,(Color)
1964,My Fair Lady,DIRECTING,George Cukor,won,,NA,NA
1964,My Fair Lady,FILM EDITING,William Ziegler,,,NA,NA
1964,My Fair Lady,MUSIC,Andre Previn,won,,NA,(Scoring of Music--adaptation or treatment)
1964,My Fair Lady,BEST PICTURE,"Jack L. Warner, Producer",won,,NA,NA
1964,My Fair Lady,SOUND,"Warner Bros. Studio Sound Department, George R. Groves, Sound Director",won,,NA,NA
1964,My Fair Lady,WRITING,Alan Jay Lerner,,,NA,(Screenplay--based on material from another medium)
1954,On the Waterfront,ACTOR,Marlon Brando,,,"{""Terry Malloy""}",NA
1954,On the Waterfront,ACTOR IN A SUPPORTING ROLE,Lee J. Cobb,won,,"{""Johnny Friendly""}",NA
1954,On the Waterfront,ACTOR IN A SUPPORTING ROLE,Karl Malden,,,"{""Father Barry""}",NA
1954,On the Waterfront,ACTOR IN A SUPPORTING ROLE,Rod Steiger,,,"{""Charles Malloy""}",NA
1954,On the Waterfront,ACTRESS IN A SUPPORTING ROLE,Eva Marie Saint,won,,"{""Edie Doyle""}",NA
1954,On the Waterfront,ART DIRECTION,Richard Day,won,,NA,(Black-and-White)
1954,On the Waterfront,CINEMATOGRAPHY,Boris Kaufman,won,,NA,(Black-and-White)
1954,On the Waterfront,DIRECTING,Elia Kazan,won,,NA,NA
1954,On the Waterfront,FILM EDITING,Gene Milford,won,,NA,NA
1954,On the Waterfront,MUSIC,Leonard Bernstein,,,NA,(Music Score of a Dramatic or Comedy Picture)
1954,On the Waterfront,BEST MOTION PICTURE,"Sam Spiegel, Producer",won,,NA,NA
1954,On the Waterfront,WRITING,Budd Schulberg ,won,,NA,(Story and Screenplay)
1981,Reds,ACTOR IN A LEADING ROLE,Warren Beatty,,,"{""John 'Jack' Reed""}",NA
1981,Reds,ACTOR IN A SUPPORTING ROLE,Jack Nicholson,,,"{""Eugene O'Neill""}",NA
1981,Reds,ACTRESS IN A LEADING ROLE,Diane Keaton,,,"{""Louise Bryant""}",NA
1981,Reds,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,won,,"{""Emma Goldman""}",NA
1981,Reds,ART DIRECTION,Art Direction: Richard Sylbert; Set Decoration: Michael Seirton,,,NA,NA
1981,Reds,CINEMATOGRAPHY,Vittorio Storaro,won,,NA,NA
1981,Reds,COSTUME DESIGN,Shirley Russell,,,NA,NA
1981,Reds,DIRECTING,Warren Beatty,won,,NA,NA
1981,Reds,FILM EDITING,"Dede Allen, Craig McKay",,,NA,NA
1981,Reds,BEST PICTURE,"Warren Beatty, Producer",,,NA,NA
1981,Reds,SOUND,"Dick Vorisek, Tom Fleischman, Simon Kaye",,,NA,NA
1981,Reds,WRITING,"Warren Beatty, Trevor Griffiths",,,NA,(Screenplay Written Directly for the Screen)
1993,Schindler's List,ACTOR IN A LEADING ROLE,Liam Neeson,,,"{""Oskar Schindler""}",NA
1993,Schindler's List,ACTOR IN A SUPPORTING ROLE,Ralph Fiennes,,,"{""Amon Goeth""}",NA
1993,Schindler's List,ART DIRECTION,Art Direction: Allan Starski; Set Decoration: Ewa Braun,won,,NA,NA
1993,Schindler's List,CINEMATOGRAPHY,Janusz Kaminski,won,,NA,NA
1993,Schindler's List,COSTUME DESIGN,Anna Biedrzycka-Sheppard,,,NA,NA
1993,Schindler's List,DIRECTING,Steven Spielberg,won,,NA,NA
1993,Schindler's List,FILM EDITING,Michael Kahn,won,,NA,NA
1993,Schindler's List,MAKEUP,"Christina Smith, Matthew Mungle, Judy Alexander Cory",,,NA,NA
1993,Schindler's List,MUSIC,John Williams,won,,NA,(Original Score)
1993,Schindler's List,BEST PICTURE,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",won,,NA,NA
1993,Schindler's List,SOUND,"Andy Nelson, Steve Pederson, Scott Millan, Ron Judkins",,,NA,NA
1993,Schindler's List,WRITING,Steven Zaillian ,won,,NA,(Screenplay Based on Material Previously Produced or Published)
1996,The English Patient,ACTOR IN A LEADING ROLE,Ralph Fiennes,,,"{""Almasy""}",NA
1996,The English Patient,ACTRESS IN A LEADING ROLE,Kristin Scott Thomas,,,"{""Katharine Clifton""}",NA
1996,The English Patient,ACTRESS IN A SUPPORTING ROLE,Juliette Binoche,won,,"{""Hana""}",NA
1996,The English Patient,ART DIRECTION,Art Direction: Stuart Craig; Set Decoration: Stephenie McMillan,won,,NA,NA
1996,The English Patient,CINEMATOGRAPHY,John Seale,won,,NA,NA
1996,The English Patient,COSTUME DESIGN,Ann Roth,won,,NA,NA
1996,The English Patient,DIRECTING,Anthony Minghella,won,,NA,NA
1996,The English Patient,FILM EDITING,Walter Murch,won,,NA,NA
1996,The English Patient,MUSIC,Gabriel Yared,won,,NA,(Original Dramatic Score)
1996,The English Patient,BEST PICTURE,"Saul Zaentz, Producer",won,,NA,NA
1996,The English Patient,SOUND,"Walter Murch, Mark Berger, David Parker, Chris Newman",won,,NA,NA
1996,The English Patient,WRITING,Anthony Minghella,,,NA,(Screenplay Based on Material Previously Produced or Published)
2010,The King's Speech,ACTOR IN A LEADING ROLE,Colin Firth,won,,"{""King George VI""}",NA
2010,The King's Speech,ACTOR IN A SUPPORTING ROLE,Geoffrey Rush,,,"{""Lionel Logue""}",NA
2010,The King's Speech,ACTRESS IN A SUPPORTING ROLE,Helena Bonham Carter,,,"{""Queen Elizabeth""}",NA
2010,The King's Speech,ART DIRECTION,Production Design: Eve Stewart; Set Decoration: Judy Farr,,,NA,NA
2010,The King's Speech,CINEMATOGRAPHY,Danny Cohen,,,NA,NA
2010,The King's Speech,COSTUME DESIGN,Jenny Beavan,,,NA,NA
2010,The King's Speech,DIRECTING,Tom Hooper,won,,NA,NA
2010,The King's Speech,FILM EDITING,Tariq Anwar,,,NA,NA
2010,The King's Speech,MUSIC,Alexandre Desplat,,,NA,(Original Score)
2010,The King's Speech,BEST PICTURE,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",won,,NA,NA
2010,The King's Speech,SOUND MIXING,"Paul Hamblin, Martin Jensen and John Midgley",,,NA,NA
2010,The King's Speech,WRITING,Screenplay by David Seidler,won,,NA,(Original Screenplay)
2021,The Power of the Dog,ACTOR IN A LEADING ROLE,Benedict Cumberbatch,,,"{""Phil Burbank""}",NA
2021,The Power of the Dog,ACTOR IN A SUPPORTING ROLE,Jesse Plemons,,,"{""George Burbank""}",NA
2021,The Power of the Dog,ACTOR IN A SUPPORTING ROLE,Kodi Smit-McPhee,,,"{""Peter Gordon""}",NA
2021,The Power of the Dog,ACTRESS IN A SUPPORTING ROLE,Kirsten Dunst,,,"{""Rose Gordon""}",NA
2021,The Power of the Dog,CINEMATOGRAPHY,Ari Wegner,,,NA,NA
2021,The Power of the Dog,DIRECTING,Jane Campion,won,,NA,NA
2021,The Power of the Dog,FILM EDITING,Peter Sciberras,,,NA,NA
2021,The Power of the Dog,MUSIC,Jonny Greenwood,,,NA,(Original Score)
2021,The Power of the Dog,BEST PICTURE,"Jane Campion, Tanya Seghatchian, Emile Sherman, Iain Canning and Roger Frappier, Producers",,,NA,NA
2021,The Power of the Dog,PRODUCTION DESIGN,Production Design: Grant Major; Set Decoration: Amber Richards,,,NA,NA
2021,The Power of the Dog,SOUND,"Richard Flynn, Robert Mackenzie and Tara Webb",,,NA,NA
2021,The Power of the Dog,WRITING,Written by Jane Campion,,,NA,(Adapted Screenplay)
2015,The Revenant,ACTOR IN A LEADING ROLE,Leonardo DiCaprio ,won,,"{""Hugh Glass""}",NA
2015,The Revenant,ACTOR IN A SUPPORTING ROLE,Tom Hardy,,,"{""John Fitzgerald""}",NA
2015,The Revenant,CINEMATOGRAPHY,Emmanuel Lubezki,won,,NA,NA
2015,The Revenant,COSTUME DESIGN,Jacqueline West,,,NA,NA
2015,The Revenant,DIRECTING,Alejandro G. Iñárritu,won,,NA,NA
2015,The Revenant,FILM EDITING,Stephen Mirrione,,,NA,NA
2015,The Revenant,MAKEUP AND HAIRSTYLING,"Siân Grigg, Duncan Jarman and Robert Pandini",,,NA,NA
2015,The Revenant,BEST PICTURE,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers",,,NA,NA
2015,The Revenant,PRODUCTION DESIGN,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,,,NA,NA
2015,The Revenant,SOUND EDITING,Martin Hernandez and Lon Bender,,,NA,NA
2015,The Revenant,SOUND MIXING,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",,,NA,NA
2015,The Revenant,VISUAL EFFECTS,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",,,NA,NA
1943,The Song of Bernadette,ACTOR IN A SUPPORTING ROLE,Charles Bickford,,,"{""Dean Peyramale""}",NA
1943,The Song of Bernadette,ACTRESS,Jennifer Jones,won,,"{""Bernadette Soubirous""}",NA
1943,The Song of Bernadette,ACTRESS IN A SUPPORTING ROLE,Gladys Cooper,,,"{""Sister Vauzous""}",NA
1943,The Song of Bernadette,ACTRESS IN A SUPPORTING ROLE,Anne Revere,,,"{""Louise Soubirous""}",NA
1943,The Song of Bernadette,ART DIRECTION,"Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little",won,,NA,(Black-and-White)
1943,The Song of Bernadette,CINEMATOGRAPHY,Arthur Miller,won,,NA,(Black-and-White)
1943,The Song of Bernadette,DIRECTING,Henry King,,,NA,NA
1943,The Song of Bernadette,FILM EDITING,Barbara McLean,,,NA,NA
1943,The Song of Bernadette,MUSIC,Alfred Newman,won,,NA,(Music Score of a Dramatic or Comedy Picture)
1943,The Song of Bernadette,OUTSTANDING MOTION PICTURE,20th Century-Fox,,,NA,NA
1943,The Song of Bernadette,SOUND RECORDING,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",,,NA,NA
1943,The Song of Bernadette,WRITING,George Seaton,,,NA,(Screenplay)
1984,A Passage to India,ACTRESS IN A LEADING ROLE,Judy Davis,,,"{""Adela Quested""}",NA
1984,A Passage to India,ACTRESS IN A SUPPORTING ROLE,Peggy Ashcroft,won,,"{""Mrs. Moore""}",NA
1984,A Passage to India,ART DIRECTION,"Art Direction: John Box, Leslie Tomkins; Set Decoration: Hugh Scaife",,,NA,NA
1984,A Passage to India,CINEMATOGRAPHY,Ernest Day,,,NA,NA
1984,A Passage to India,COSTUME DESIGN,Judy Moorcroft,,,NA,NA
1984,A Passage to India,DIRECTING,David Lean,,,NA,NA
1984,A Passage to India,FILM EDITING,David Lean,,,NA,NA
1984,A Passage to India,MUSIC,Maurice Jarre,won,,NA,(Original Score)
1984,A Passage to India,BEST PICTURE,"John Brabourne and Richard Goodwin, Producers",,,NA,NA
1984,A Passage to India,SOUND,"Graham V. Hartstone, Nicolas Le Messurier, Michael A. Carter, John Mitchell",,,NA,NA
1984,A Passage to India,WRITING,David Lean,,,NA,(Screenplay Based on Material from Another Medium)
1984,Amadeus,ACTOR IN A LEADING ROLE,F. Murray Abraham,won,,"{""Antonio Salieri""}",NA
1984,Amadeus,ACTOR IN A LEADING ROLE,Tom Hulce,,,"{""Wolfgang Amadeus Mozart""}",NA
1984,Amadeus,ART DIRECTION,Art Direction: Patrizia Von Brandenstein; Set Decoration: Karel Cerny,won,,NA,NA
1984,Amadeus,CINEMATOGRAPHY,Miroslav Ondricek,,,NA,NA
1984,Amadeus,COSTUME DESIGN,Theodor Pistek,won,,NA,NA
1984,Amadeus,DIRECTING,Milos Forman,won,,NA,NA
1984,Amadeus,FILM EDITING,"Nena Danevic, Michael Chandler",,,NA,NA
1984,Amadeus,MAKEUP,"Paul LeBlanc, Dick Smith",won,,NA,NA
1984,Amadeus,BEST PICTURE,"Saul Zaentz, Producer",won,,NA,NA
1984,Amadeus,SOUND,"Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman",won,,NA,NA
1984,Amadeus,WRITING,Peter Shaffer ,won,,NA,(Screenplay Based on Material from Another Medium)
1974,Chinatown,ACTOR,Jack Nicholson,,,"{""J. J. Gittes""}",NA
1974,Chinatown,ACTRESS,Faye Dunaway,,,"{""Evelyn Cross Mulwray""}",NA
1974,Chinatown,ART DIRECTION,"Art Direction: Richard Sylbert, W. Stewart Campbell; Set Decoration: Ruby Levitt",,,NA,NA
1974,Chinatown,CINEMATOGRAPHY,John A. Alonzo,,,NA,NA
1974,Chinatown,COSTUME DESIGN,Anthea Sylbert,,,NA,NA
1974,Chinatown,DIRECTING,Roman Polanski,,,NA,NA
1974,Chinatown,FILM EDITING,Sam O'Steen,,,NA,NA
1974,Chinatown,MUSIC,Jerry Goldsmith,,,NA,(Original Dramatic Score)
1974,Chinatown,BEST PICTURE,"Robert Evans, Producer",,,NA,NA
1974,Chinatown,SOUND,"Bud Grenzbach, Larry Jost",,,NA,NA
1974,Chinatown,WRITING,Robert Towne ,won,,NA,(Original Screenplay)
2022,Everything Everywhere All at Once,ACTOR IN A SUPPORTING ROLE,Ke Huy Quan ,won,,"{""Waymond Wang""}",NA
2022,Everything Everywhere All at Once,ACTRESS IN A LEADING ROLE,Michelle Yeoh ,won,,"{""Evelyn Wang""}",NA
2022,Everything Everywhere All at Once,ACTRESS IN A SUPPORTING ROLE,Jamie Lee Curtis ,won,,"{""Deirdre Beaubeirdra""}",NA
2022,Everything Everywhere All at Once,ACTRESS IN A SUPPORTING ROLE,Stephanie Hsu,,,"{""Joy Wang/Jobu Tupaki""}",NA
2022,Everything Everywhere All at Once,COSTUME DESIGN,Shirley Kurata,,,NA,NA
2022,Everything Everywhere All at Once,DIRECTING,Daniel Kwan and Daniel Scheinert,won,,NA,NA
2022,Everything Everywhere All at Once,FILM EDITING,Paul Rogers,won,,NA,NA
2022,Everything Everywhere All at Once,MUSIC,Son Lux,,,NA,(Original Score)
2022,Everything Everywhere All at Once,MUSIC,"""This Is A Life,"" Music by Ryan Lott, David Byrne and Mitski; Lyric by Ryan Lott and David Byrne",,,NA,(Original Song)
2022,Everything Everywhere All at Once,BEST PICTURE,"Daniel Kwan, Daniel Scheinert and Jonathan Wang, Producers",won,,NA,NA
2022,Everything Everywhere All at Once,WRITING,Written by Daniel Kwan & Daniel Scheinert ,won,,NA,(Original Screenplay)
1982,Gandhi,ACTOR IN A LEADING ROLE,Ben Kingsley ,won,,"{""Mahatma Gandhi""}",NA
1982,Gandhi,ART DIRECTION,"Art Direction: Stuart Craig, Bob Laing; Set Decoration: Michael Seirton",won,,NA,NA
1982,Gandhi,CINEMATOGRAPHY,"Billy Williams, Ronnie Taylor",won,,NA,NA
1982,Gandhi,COSTUME DESIGN,"John Mollo, Bhanu Athaiya",won,,NA,NA
1982,Gandhi,DIRECTING,Richard Attenborough,won,,NA,NA
1982,Gandhi,FILM EDITING,John Bloom,won,,NA,NA
1982,Gandhi,MAKEUP,Tom Smith,,,NA,NA
1982,Gandhi,MUSIC,"Ravi Shankar, George Fenton",,,NA,(Original Score)
1982,Gandhi,BEST PICTURE,"Richard Attenborough, Producer",won,,NA,NA
1982,Gandhi,SOUND,"Gerry Humphreys, Robin O'Donoghue, Jonathan Bates, Simon Kaye",,,NA,NA
1982,Gandhi,WRITING,John Briley ,won,,NA,(Screenplay Written Directly for the Screen)
2011,Hugo,ART DIRECTION,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,won,,NA,NA
2011,Hugo,CINEMATOGRAPHY,Robert Richardson,won,,NA,NA
2011,Hugo,COSTUME DESIGN,Sandy Powell,,,NA,NA
2011,Hugo,DIRECTING,Martin Scorsese,,,NA,NA
2011,Hugo,FILM EDITING,Thelma Schoonmaker,,,NA,NA
2011,Hugo,MUSIC,Howard Shore,,,NA,(Original Score)
2011,Hugo,BEST PICTURE,"Graham King and Martin Scorsese, Producers",,,NA,NA
2011,Hugo,SOUND EDITING,Philip Stockton and Eugene Gearty,won,,NA,NA
2011,Hugo,SOUND MIXING,Tom Fleischman and John Midgley,won,,NA,NA
2011,Hugo,VISUAL EFFECTS,"Rob Legato, Joss Williams, Ben Grossmann and Alex Henning",won,,NA,NA
2011,Hugo,WRITING,Screenplay by John Logan,,,NA,(Adapted Screenplay)
2019,Joker,ACTOR IN A LEADING ROLE,Joaquin Phoenix,won,,"{""Arthur Fleck""}",NA
2019,Joker,CINEMATOGRAPHY,Lawrence Sher,,,NA,NA
2019,Joker,COSTUME DESIGN,Mark Bridges,,,NA,NA
2019,Joker,DIRECTING,Todd Phillips,,,NA,NA
2019,Joker,FILM EDITING,Jeff Groth,,,NA,NA
2019,Joker,MAKEUP AND HAIRSTYLING,Nicki Ledermann and Kay Georgiou,,,NA,NA
2019,Joker,MUSIC,Hildur Guðnadóttir,won,,NA,(Original Score)
2019,Joker,BEST PICTURE,"Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers",,,NA,NA
2019,Joker,SOUND EDITING,Alan Robert Murray,,,NA,NA
2019,Joker,SOUND MIXING,"Tom Ozanich, Dean Zupancic and Tod Maitland",,,NA,NA
2019,Joker,WRITING,Written by Todd Phillips & Scott Silver,,,NA,(Adapted Screenplay)
1961,Judgment at Nuremberg,ACTOR,Maximilian Schell,won,,"{""Hans Rolfe""}",NA
1961,Judgment at Nuremberg,ACTOR,Spencer Tracy,,,"{""Judge Dan Haywood""}",NA
1961,Judgment at Nuremberg,ACTOR IN A SUPPORTING ROLE,Montgomery Clift,,,"{""Rudolph Petersen""}",NA
1961,Judgment at Nuremberg,ACTRESS IN A SUPPORTING ROLE,Judy Garland,,,"{""Irene Hoffman""}",NA
1961,Judgment at Nuremberg,ART DIRECTION,Art Direction: Rudolph Sternad; Set Decoration: George Milo,,,NA,(Black-and-White)
1961,Judgment at Nuremberg,CINEMATOGRAPHY,Ernest Laszlo,,,NA,(Black-and-White)
1961,Judgment at Nuremberg,COSTUME DESIGN,Jean Louis,,,NA,(Black-and-White)
1961,Judgment at Nuremberg,DIRECTING,Stanley Kramer,,,NA,NA
1961,Judgment at Nuremberg,FILM EDITING,Frederic Knudtson,,,NA,NA
1961,Judgment at Nuremberg,BEST MOTION PICTURE,"Stanley Kramer, Producer",,,NA,NA
1961,Judgment at Nuremberg,WRITING,Abby Mann ,won,,NA,(Screenplay--based on material from another medium)
1977,Julia,ACTOR IN A SUPPORTING ROLE,Jason Robards,won,,"{""Dashiell Hammett""}",NA
1977,Julia,ACTOR IN A SUPPORTING ROLE,Maximilian Schell,,,"{""Johann""}",NA
1977,Julia,ACTRESS IN A LEADING ROLE,Jane Fonda,,,"{""Lillian Hellman""}",NA
1977,Julia,ACTRESS IN A SUPPORTING ROLE,Vanessa Redgrave,won,,"{""Julia""}",NA
1977,Julia,CINEMATOGRAPHY,Douglas Slocombe,,,NA,NA
1977,Julia,COSTUME DESIGN,Anthea Sylbert,,,NA,NA
1977,Julia,DIRECTING,Fred Zinnemann,,,NA,NA
1977,Julia,FILM EDITING,Walter Murch,,,NA,NA
1977,Julia,MUSIC,Georges Delerue,,,NA,(Original Score)
1977,Julia,BEST PICTURE,"Richard Roth, Producer",,,NA,NA
1977,Julia,WRITING,Alvin Sargent,won,,NA,(Screenplay--based on material from another medium)
2012,Life of Pi,CINEMATOGRAPHY,Claudio Miranda,won,,NA,NA
2012,Life of Pi,DIRECTING,Ang Lee,won,,NA,NA
2012,Life of Pi,FILM EDITING,Tim Squyres,,,NA,NA
2012,Life of Pi,MUSIC,Mychael Danna,won,,NA,(Original Score)
2012,Life of Pi,MUSIC,"""Pi's Lullaby,"" Music by Mychael Danna; Lyric by Bombay Jayashri",,,NA,(Original Song)
2012,Life of Pi,BEST PICTURE,"Gil Netter, Ang Lee and David Womark, Producers",,,NA,NA
2012,Life of Pi,PRODUCTION DESIGN,Production Design: David Gropman; Set Decoration: Anna Pinnock,,,NA,NA
2012,Life of Pi,SOUND EDITING,Eugene Gearty and Philip Stockton,,,NA,NA
2012,Life of Pi,SOUND MIXING,"Ron Bartlett, D.M. Hemphill and Drew Kunin",,,NA,NA
2012,Life of Pi,VISUAL EFFECTS,"Bill Westenhofer, Guillaume Rocheron, Erik-Jan De Boer and Donald R. Elliott",won,,NA,NA
2012,Life of Pi,WRITING,Screenplay by David Magee,,,NA,(Adapted Screenplay)
1939,Mr. Smith Goes to Washington,ACTOR,James Stewart,,,"{""Jefferson Smith""}",NA
1939,Mr. Smith Goes to Washington,ACTOR IN A SUPPORTING ROLE,Harry Carey,,,"{""President of the Senate""}",NA
1939,Mr. Smith Goes to Washington,ACTOR IN A SUPPORTING ROLE,Claude Rains,,,"{""Senator Joseph Paine""}",NA
1939,Mr. Smith Goes to Washington,ART DIRECTION,Lionel Banks,,,NA,NA
1939,Mr. Smith Goes to Washington,DIRECTING,Frank Capra,,,NA,NA
1939,Mr. Smith Goes to Washington,FILM EDITING,"Gene Havlick, Al Clark",,,NA,NA
1939,Mr. Smith Goes to Washington,MUSIC,Dimitri Tiomkin,,,NA,(Scoring)
1939,Mr. Smith Goes to Washington,OUTSTANDING PRODUCTION,Columbia,,,NA,NA
1939,Mr. Smith Goes to Washington,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director",,,NA,NA
1939,Mr. Smith Goes to Washington,WRITING,Lewis R. Foster,won,,NA,(Original Story)
1939,Mr. Smith Goes to Washington,WRITING,Sidney Buchman,,,NA,(Screenplay)
1968,Oliver!,ACTOR,Ron Moody,,,"{""Fagin""}",NA
1968,Oliver!,ACTOR IN A SUPPORTING ROLE,Jack Wild,,,"{""The Artful Dodger""}",NA
1968,Oliver!,ART DIRECTION,"Art Direction: John Box, Terence Marsh; Set Decoration: Vernon Dixon, Ken Muggleston",won,,NA,NA
1968,Oliver!,CINEMATOGRAPHY,Oswald Morris,,,NA,NA
1968,Oliver!,COSTUME DESIGN,Phyllis Dalton,,,NA,NA
1968,Oliver!,DIRECTING,Carol Reed,won,,NA,NA
1968,Oliver!,FILM EDITING,Ralph Kemplen,,,NA,NA
1968,Oliver!,MUSIC,Adaptation score by John Green,won,,NA,(Score of a Musical Picture--original or adaptation)
1968,Oliver!,BEST PICTURE,"John Woolf, Producer",won,,NA,NA
1968,Oliver!,SOUND,Shepperton Studio Sound Department,won,,NA,NA
1968,Oliver!,WRITING,Vernon Harris,,,NA,(Screenplay--based on material from another medium)
1985,Out of Africa,ACTOR IN A SUPPORTING ROLE,Klaus Maria Brandauer,,,"{""Bror""}",NA
1985,Out of Africa,ACTRESS IN A LEADING ROLE,Meryl Streep,,,"{""Karen""}",NA
1985,Out of Africa,ART DIRECTION,Art Direction: Stephen Grimes; Set Decoration: Josie MacAvin,won,,NA,NA
1985,Out of Africa,CINEMATOGRAPHY,David Watkin,won,,NA,NA
1985,Out of Africa,COSTUME DESIGN,Milena Canonero,,,NA,NA
1985,Out of Africa,DIRECTING,Sydney Pollack,won,,NA,NA
1985,Out of Africa,FILM EDITING,"Fredric Steinkamp, William Steinkamp, Pembroke Herring, Sheldon Kahn",,,NA,NA
1985,Out of Africa,MUSIC,John Barry,won,,NA,(Original Score)
1985,Out of Africa,BEST PICTURE,"Sydney Pollack, Producer",won,,NA,NA
1985,Out of Africa,SOUND,"Chris Jenkins, Gary Alexander, Larry Stensvold, Peter Handford",won,,NA,NA
1985,Out of Africa,WRITING,Kurt Luedtke ,won,,NA,(Screenplay Based on Material from Another Medium)
1940,Rebecca,ACTOR,Laurence Olivier,,,"{""Maxim de Winter""}",NA
1940,Rebecca,ACTRESS,Joan Fontaine,,,"{""Mrs. de Winter""}",NA
1940,Rebecca,ACTRESS IN A SUPPORTING ROLE,Judith Anderson,,,"{""Mrs. Danvers""}",NA
1940,Rebecca,ART DIRECTION,Lyle Wheeler,,,NA,(Black-and-White)
1940,Rebecca,CINEMATOGRAPHY,George Barnes,won,,NA,(Black-and-White)
1940,Rebecca,DIRECTING,Alfred Hitchcock,,,NA,NA
1940,Rebecca,FILM EDITING,Hal C. Kern,,,NA,NA
1940,Rebecca,MUSIC,Franz Waxman,,,NA,(Original Score)
1940,Rebecca,OUTSTANDING PRODUCTION,Selznick International Pictures,won,,NA,NA
1940,Rebecca,SPECIAL EFFECTS,Photographic Effects by Jack Cosgrove; Sound Effects by Arthur Johns,,,NA,NA
1940,Rebecca,WRITING,"Robert E. Sherwood, Joan Harrison",,,NA,(Screenplay)
1998,Saving Private Ryan,ACTOR IN A LEADING ROLE,Tom Hanks,,,"{""Captain Miller""}",NA
1998,Saving Private Ryan,ART DIRECTION,Art Direction: Tom Sanders; Set Decoration: Lisa Dean Kavanaugh,,,NA,NA
1998,Saving Private Ryan,CINEMATOGRAPHY,Janusz Kaminski,won,,NA,NA
1998,Saving Private Ryan,DIRECTING,Steven Spielberg,won,,NA,NA
1998,Saving Private Ryan,FILM EDITING,Michael Kahn,won,,NA,NA
1998,Saving Private Ryan,MAKEUP,"Lois Burwell, Conor O'Sullivan, Daniel C. Striepeke",,,NA,NA
1998,Saving Private Ryan,MUSIC,John Williams,,,NA,(Original Dramatic Score)
1998,Saving Private Ryan,BEST PICTURE,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers",,,NA,NA
1998,Saving Private Ryan,SOUND,"Gary Rydstrom, Gary Summers, Andy Nelson, Ronald Judkins",won,,NA,NA
1998,Saving Private Ryan,SOUND EFFECTS EDITING,"Gary Rydstrom, Richard Hymns",won,,NA,NA
1998,Saving Private Ryan,WRITING,Robert Rodat,,,NA,(Screenplay Written Directly for the Screen)
1941,Sergeant York,ACTOR,Gary Cooper,won,,"{""Alvin C. York""}",NA
1941,Sergeant York,ACTOR IN A SUPPORTING ROLE,Walter Brennan,,,"{""Pastor Posier Pile""}",NA
1941,Sergeant York,ACTRESS IN A SUPPORTING ROLE,Margaret Wycherly,,,"{""Mother York""}",NA
1941,Sergeant York,ART DIRECTION,Art Direction: John Hughes; Interior Decoration: Fred MacLean,,,NA,(Black-and-White)
1941,Sergeant York,CINEMATOGRAPHY,Sol Polito,,,NA,(Black-and-White)
1941,Sergeant York,DIRECTING,Howard Hawks,,,NA,NA
1941,Sergeant York,FILM EDITING,William Holmes,won,,NA,NA
1941,Sergeant York,MUSIC,Max Steiner,,,NA,(Music Score of a Dramatic Picture)
1941,Sergeant York,OUTSTANDING MOTION PICTURE,Warner Bros.,,,NA,NA
1941,Sergeant York,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",,,NA,NA
1941,Sergeant York,WRITING,"Abem Finkel, Harry Chandlee, Howard Koch, John Huston",,,NA,(Original Screenplay)
1950,Sunset Blvd.,ACTOR,William Holden,,,"{""Joe Gillis""}",NA
1950,Sunset Blvd.,ACTOR IN A SUPPORTING ROLE,Erich von Stroheim,,,"{""Max Von Mayerling""}",NA
1950,Sunset Blvd.,ACTRESS,Gloria Swanson,,,"{""Norma Desmond""}",NA
1950,Sunset Blvd.,ACTRESS IN A SUPPORTING ROLE,Nancy Olson,,,"{""Betty Schaefer""}",NA
1950,Sunset Blvd.,ART DIRECTION,"Art Direction: Hans Dreier, John Meehan; Set Decoration: Sam Comer, Ray Moyer",won,,NA,(Black-and-White)
1950,Sunset Blvd.,CINEMATOGRAPHY,John F. Seitz,,,NA,(Black-and-White)
1950,Sunset Blvd.,DIRECTING,Billy Wilder,,,NA,NA
1950,Sunset Blvd.,FILM EDITING,"Arthur Schmidt, Doane Harrison",,,NA,NA
1950,Sunset Blvd.,MUSIC,Franz Waxman,won,,NA,(Music Score of a Dramatic or Comedy Picture)
